FirstName,LastName,EmailAddress,DOB,Age,Age on Event Start Date,Gender,Address1,Address2,Town,Country,PostCode,ContactNumber,BookingId,BookingDate,TicketName,BookingState,LicenceName,StartDate,EndDate,LicenseState,ClubPlusLicenceName,ClubPlusLicenceState,Mid,MemberState,PaymentId,PaymentDate,PaymentMethod,GrossAmount,Quantity,LineAmount,RefundAmount,PaymentUser,PaymentUserEmail,PaymentState,Organisation,Sub-Regions,Regions,Emergency Contact - NGB:Name of emergency contact,Emergency Contact - NGB:Relationship of emergency contact,Emergency Contact - NGB:Contact number of emergency contact,V2 Paddle Australia Event Waiver - NGB:Please choose one of the option:,V2 Paddle Australia Event Waiver - NGB:I agree to the above statement,V2 Paddle Australia Event Waiver - NGB:2 I agree to the above statement,Simple Slalom Classes K1 C1  - Club:Classes,2026 slalom Registration Compatible with Siwi - Club:Full Name,2026 slalom Registration Compatible with Siwi - Club:Date of Birth,2026 slalom Registration Compatible with Siwi - Club:Please select the age category that you will compe,2026 slalom Registration Compatible with Siwi - Club:Please select the event you wish to compete in:,2026 slalom Registration Compatible with Siwi - Club:C2 Partner Name
Person1FirstName,Person1LastName,person1@example.com,5/3/2013,13,13,Male,12 Example Street,,Example Vale,Australia,9001,400000200,CB000001,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Junior Membership,1/1/2026,31/12/2026,Active,Junior,Active,PA000001,Registered,PR000001,1/8/2026,Card,25,1,15,,Person1FirstName Person1LastName,person1@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person1FirstName Person1LastName,Self,400000200,I am registering myself to this event,Yes,No,K1,,,,,
Person2FirstName,Person2LastName,person2@example.com,20/11/2012,14,14,Male,12 Example Street,,Example Vale,Australia,9001,400000201,CB000002,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Junior Membership,1/1/2026,31/12/2026,Active,Junior,Active,PA000002,Registered,PR000002,1/8/2026,Card,25,1,15,,Person2FirstName Person2LastName,person2@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person2FirstName Person2LastName,Self,400000201,I am registering myself to this event,Yes,No,K1,,,,,
Person3FirstName,Person3LastName,person3@example.com,14/7/2013,13,13,Male,12 Example Street,,Example Vale,Australia,9001,400000202,CB000003,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Junior Membership,1/1/2026,31/12/2026,Active,Junior,Active,PA000003,Registered,PR000003,1/8/2026,Card,25,1,15,,Person3FirstName Person3LastName,person3@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person3FirstName Person3LastName,Self,400000202,I am registering myself to this event,Yes,No,K1,,,,,
Person4FirstName,Person4LastName,person4@example.com,2/1/2012,14,14,Male,12 Example Street,,Example Vale,Australia,9001,400000203,CB000004,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Junior Membership,1/1/2026,31/12/2026,Active,Junior,Active,PA000004,Registered,PR000004,1/8/2026,Card,25,1,15,,Person4FirstName Person4LastName,person4@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person4FirstName Person4LastName,Self,400000203,I am registering myself to this event,Yes,No,K1,,,,,
Person5FirstName,Person5LastName,person5@example.com,10/4/2007,19,19,Male,12 Example Street,,Example Vale,Australia,9001,400000204,CB000005,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000005,Registered,PR000005,1/8/2026,Card,25,1,15,,Person5FirstName Person5LastName,person5@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person5FirstName Person5LastName,Self,400000204,I am registering myself to this event,Yes,No,K1,,,,,
Person6FirstName,Person6LastName,person6@example.com,22/9/2005,21,21,Male,12 Example Street,,Example Vale,Australia,9001,400000205,CB000006,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000006,Registered,PR000006,1/8/2026,Card,25,1,15,,Person6FirstName Person6LastName,person6@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person6FirstName Person6LastName,Self,400000205,I am registering myself to this event,Yes,No,K1,,,,,
Person7FirstName,Person7LastName,person7@example.com,3/2/2004,22,22,Male,12 Example Street,,Example Vale,Australia,9001,400000206,CB000007,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000007,Registered,PR000007,1/8/2026,Card,25,1,15,,Person7FirstName Person7LastName,person7@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person7FirstName Person7LastName,Self,400000206,I am registering myself to this event,Yes,No,K1,,,,,
Person8FirstName,Person8LastName,person8@example.com,17/6/2003,23,23,Male,12 Example Street,,Example Vale,Australia,9001,400000207,CB000008,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000008,Registered,PR000008,1/8/2026,Card,25,1,15,,Person8FirstName Person8LastName,person8@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person8FirstName Person8LastName,Self,400000207,I am registering myself to this event,Yes,No,K1,,,,,
Person9FirstName,Person9LastName,person9@example.com,8/8/2002,24,24,Male,12 Example Street,,Example Vale,Australia,9001,400000208,CB000009,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000009,Registered,PR000009,1/8/2026,Card,25,1,15,,Person9FirstName Person9LastName,person9@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person9FirstName Person9LastName,Self,400000208,I am registering myself to this event,Yes,No,K1,,,,,
Person10FirstName,Person10LastName,person10@example.com,19/12/1998,28,28,Male,12 Example Street,,Example Vale,Australia,9001,400000209,CB000010,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000010,Registered,PR000010,1/8/2026,Card,25,1,15,,Person10FirstName Person10LastName,person10@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person10FirstName Person10LastName,Self,400000209,I am registering myself to this event,Yes,No,K1,,,,,
